1,establish,0.2908818
2,reinhard,0.7960524
3,bodies,0.28185028
4,neukirchen,0.39514235
5,state,2.4871225
6,assigned,0.7585597
7,rp,5.1235194
8,problem,2.6060517
9,secure,2.2642782
10,mover,0.34959695
11,decentralizing,0.28673902
12,proofing,0.3033719
13,permitted,0.27139556
14,although,0.27952617
15,executional,0.4463995
16,small,0.5315913
17,boysen,0.64914346
18,helene,0.7733281
19,automatic,0.27383783
20,username,0.71888
21,gratitude,0.70107657
22,unsuited,0.28168246
23,regulated,0.31917006
24,consensys,0.6957855
25,ceo,0.46832106
26,keyless,0.30757862
27,thanks,0.68454003
28,severity,0.2997316
29,static,0.2645548
30,dispute,0.30258256
31,improved,3.594076
32,immigrant,0.3412442
33,competitive,1.0420249
34,implement,0.4261302
35,hubid,0.32168016
36,nasdaq,0.3256721
37,senior,1.357712
38,contribution,0.3012923
39,expose,0.6549621
40,growing,0.28431663
41,touche,1.0906464
42,must,4.4341836
43,connected,0.38664088
44,enablers,0.30784938
45,implication,0.8087742
46,cross,1.263659
47,habit,0.40747947
48,when,0.40406778
49,directors,0.28221962
50,signing,0.5311696
51,phd,0.39837614
52,arne,0.95027316
53,consortiums,0.40111563
54,put,0.5316673
55,von,0.8623763
56,trust,1.1638733
57,one,3.6817868
58,recognition,0.82979906
59,completes,0.29136893
60,distrust,0.29748973
61,suited,1.9236122
62,mismatch,0.27217302
63,jackson,0.9704291
64,duffy,0.80223703
65,lower,0.28772476
66,manually,0.5799939
67,narvaez,0.86741793
68,portal,0.5588694
69,type,0.8724971
70,deny,0.54494476
71,centrally,0.27435243
72,extend,0.3676283
73,groups,0.2753377
74,participating,0.4077415
75,jonathan,1.0504123
76,gather,0.39929166
77,long,0.3425438
78,truth,0.6528353
79,test,0.33572125
80,operating,1.7609063
81,io,0.46827886
82,behind,0.47023895
83,studies,1.6397047
84,institute,0.3986683
85,peter,2.058781
86,ienco,0.99026513
87,spotlight,0.27054968
88,entity,20.931072
89,sweden,0.4467496
90,contact,0.9171189
91,greg,0.69830513
92,often,2.1758451
93,correcting,0.28290707
94,breaking,0.2650875
95,substantial,0.31044245
96,situational,0.38047132
97,quick,0.26390654
98,hayes,0.5217351
99,drove,0.28559023
100,discretionary,0.2619405
101,onboarding,1.7875966
102,serf,0.6220662
103,mission,0.30183497
104,champion,0.4160042
105,material,0.28495097
106,tissue,0.35097703
107,adopted,0.4605209
108,almost,0.528139
109,leaving,0.27029657
110,smaling,0.78970826
111,becoming,0.8432163
112,comprehensive,0.6773313
113,explicit,0.27269578
114,standardize,0.4167885
115,albers,0.72904325
116,fractionally,0.29077357
117,applications,0.55649525
118,citi,0.7510153
119,conversation,0.54807276
120,connectivity,0.40890002
121,success,0.31224537
122,maintained,0.5631284
123,drexler,0.42379963
124,hastings,0.9318354
125,involving,0.64886963
126,many,8.14945
127,expectation,0.4566339
128,charlotte,0.9557706
129,resident,0.5021734
130,turner,0.6553524
131,information,28.842005
132,licence,0.3638451
133,benefits,0.6453302
134,guideline,0.66601145
135,dutch,0.3056099
136,johnston,0.85598636
137,currently,1.8222136
138,decrease,0.39811653
139,office,0.76508933
140,conscious,0.2970558
141,resistant,0.32988325
142,whether,0.9214524
143,entitled,0.38893485
144,chartered,0.3410395
145,compliant,0.30442637
146,calling,0.28849205
147,acknowledgements,0.91700304
148,reach,0.70690405
149,standardizing,0.33009347
150,govern,0.27614352
151,compliance,2.3218963
152,forward,0.401521
153,balancing,0.308615
154,operates,0.597975
155,observe,0.29853505
156,next,0.72419906
157,coverage,0.70074147
158,sophisticated,0.28535762
159,aon,0.7463053
160,permission,0.8801425
161,cresnik,0.4346174
162,programme,1.631091
163,lay,0.2736489
164,emerge,0.39396253
165,inconvenient,0.29608718
166,forgotten,0.28804976
167,concern,0.97649044
168,gsma,1.2396239
169,repository,0.517193
170,privacy,4.009604
171,external,1.9382161
172,priority,0.37486613
173,represents,0.2884952
174,license,0.31275266
175,promise,0.41358322
176,ultimately,0.42203507
177,developing,0.7097581
178,bad,0.33876187
179,payments,0.72972494
180,fingerprint,1.0077072
181,team,1.5843801
182,future,1.854003
183,behalf,0.8544772
184,ab,0.39957553
185,closely,0.2772884
186,automating,0.32531032
187,interac,0.32301754
188,turkey,0.40977827
189,increase,2.6050308
190,nemid,0.89320695
191,payouts,0.3010934
192,telecommunication,0.30574065
193,critical,3.092733
194,greenhouse,0.31734744
195,barrier,0.5870192
196,human,1.818978
197,aneesh,0.65091324
198,error,1.8106344
199,governments,1.4129028
200,drive,0.83359456
201,society,1.6461958
202,pin,0.47388574
203,wallet,0.6370532
204,layer,0.83363575
205,ahuja,0.6728926
206,alka,0.86486775
207,implications,1.5075394
208,billion,0.30837834
209,insurance,1.4392854
210,pat,0.75556445
211,interact,0.8213032
212,photographing,0.46732402
213,extent,0.4524045
214,telephone,0.44220194
215,fei,0.77060765
216,understand,1.3355486
217,deposited,0.28693017
218,answering,0.32949093
219,involvement,0.5472159
220,infrastructure,0.65709513
221,ease,0.2821753
